TrafficLoad,ActiveModules,AmbientTemp,DCPower
0.375,8,31,204.57
0.951,4,21,226.44
0.732,1,19,164.85
0.599,8,30,234.76
0.156,4,31,153.41
0.156,6,35,166.61
0.058,8,23,172.29
0.866,4,22,217.05
0.601,3,31,188.35
0.708,9,22,235.89
0.021,3,34,120.37
0.970,9,32,282.17
0.832,2,24,189.79
0.212,2,30,134.97
0.182,2,30,133.42
0.183,6,17,127.34
0.304,3,33,159.27
0.525,9,25,222.97
0.432,4,32,185.24
0.291,1,21,134.69
0.612,4,33,211.60
0.139,1,23,103.95
0.292,5,15,141.99
0.366,4,33,180.26
0.456,8,17,189.59
0.785,8,21,230.48
0.200,7,34,199.96
0.514,3,34,184.24
0.592,1,26,163.78
0.046,1,28,87.49
0.608,3,24,189.67
0.171,6,21,141.86
0.065,7,22,146.40
0.949,6,28,262.29
0.966,6,30,251.17
0.808,6,31,241.89
0.305,3,31,168.93
0.098,6,17,115.30
0.684,8,25,226.96
0.440,2,16,135.81
0.122,5,26,142.14
0.495,1,24,152.78
0.034,1,33,102.77
0.909,5,22,226.91
0.259,3,17,124.88
0.663,4,18,185.49
0.312,3,30,158.50
0.520,1,27,168.74
0.547,1,17,157.58
0.185,5,17,142.43
0.970,6,29,250.89
0.775,3,16,191.67
0.939,9,31,300.89
0.895,5,29,249.18
0.598,8,17,207.16
0.922,1,17,206.33
0.088,5,35,149.61
0.196,3,22,125.90
0.045,1,22,108.21
0.325,4,31,157.45
0.389,5,34,172.25
0.271,7,35,198.17
0.829,1,30,202.77
0.357,3,23,151.62
0.281,2,17,121.83
0.543,9,31,231.03
0.141,6,26,150.50
0.802,3,23,200.48
0.075,8,33,169.58
0.987,8,17,254.95
0.772,2,25,189.32
0.199,6,15,140.33
0.006,7,24,123.20
0.815,2,16,193.52
0.707,2,17,180.01
0.729,1,17,170.83
0.771,8,28,250.43
0.074,1,30,113.96
0.358,9,27,199.22
0.116,6,34,159.01
0.863,7,22,247.55
0.623,7,21,213.53
0.331,3,32,178.61
0.064,2,19,115.79
0.311,9,34,218.18
0.325,8,15,169.79
0.730,7,34,240.63
0.638,9,16,214.29
0.887,4,33,239.94
0.472,4,26,155.07
0.120,1,35,120.97
0.713,8,16,221.85
0.761,3,26,192.22
0.561,7,34,231.31
0.771,2,25,187.60
0.494,2,28,168.78
0.523,7,29,234.37
0.428,6,24,172.55
0.025,3,28,117.19
0.108,9,27,171.72
0.031,6,33,146.49
0.636,6,16,204.31
0.314,1,21,135.50
0.509,4,34,200.21
0.908,6,33,250.33
0.249,6,24,183.56
0.410,5,27,166.19
0.756,1,21,171.23
0.229,8,19,170.96
0.077,5,24,136.36
0.290,5,22,161.78
0.161,7,27,178.00
0.930,4,17,217.44
0.808,6,34,247.62
0.633,4,35,205.34
0.871,3,29,226.73
0.804,7,26,238.48
0.187,8,21,165.62
0.893,4,31,240.37
0.539,2,29,182.04
0.807,3,18,180.61
0.896,1,33,218.24
0.318,8,31,197.17
0.110,3,34,145.78
0.228,7,30,175.62
0.427,5,27,192.56
0.818,5,23,217.80
0.861,7,34,241.93
0.007,9,32,179.73
0.511,5,16,168.40
0.417,1,16,118.74
0.222,1,23,118.58
0.120,2,31,125.29
0.338,6,35,197.22
0.943,9,18,269.30
0.323,8,27,193.87
0.519,5,23,179.10
0.703,1,34,196.26
0.364,7,32,198.72
0.972,5,32,258.82
0.962,6,24,243.06
0.252,7,23,167.96
0.497,3,20,168.45
0.301,3,16,144.28
0.285,5,32,180.35
0.037,6,31,149.97
0.610,9,35,243.74
0.503,5,35,205.95
0.051,1,26,94.61
0.279,4,30,154.47
0.908,5,34,261.91
0.240,5,32,169.95
0.145,7,20,150.53
0.489,4,24,183.38
0.986,1,18,212.95
0.242,5,34,166.61
0.672,7,27,223.92
0.762,6,20,214.33
0.238,5,28,168.88
0.728,4,27,218.22
0.368,2,22,154.47
0.632,4,17,191.85
0.634,3,28,179.61
0.536,1,25,162.65
0.090,8,30,162.04
0.835,5,25,224.24
0.321,4,32,169.92
0.187,8,26,182.12
0.041,7,26,143.09
0.591,2,33,167.11
0.678,1,23,175.36
0.017,4,18,131.66
0.512,8,16,197.19
0.226,2,30,138.71
0.645,3,27,206.79
0.174,1,29,127.27
0.691,1,19,171.54
0.387,3,18,150.54
0.937,5,15,227.35
0.138,3,22,114.40
0.341,1,27,128.39
0.113,1,23,120.98
0.925,8,24,262.06
0.877,2,33,221.71
0.258,3,22,137.18
0.660,2,25,189.37
0.817,3,31,238.39
0.555,7,23,211.21
0.530,1,27,158.02
0.242,8,32,190.33
0.093,2,34,136.73
0.897,3,18,203.92
0.900,9,34,287.17
0.633,7,25,200.67
0.339,4,20,151.09
0.349,5,24,173.20
0.726,2,35,215.18
0.897,8,25,252.38
0.887,4,22,208.79
0.780,9,28,255.00
