"Time Stamp","Time Zone","Name","PTID","Load"
"07/23/2017 00:00:00","EDT","CAPITL",61757,1324.7
"07/23/2017 00:00:00","EDT","CENTRL",61754,1689.3
"07/23/2017 00:00:00","EDT","DUNWOD",61760,851.3
"07/23/2017 00:00:00","EDT","GENESE",61753,1077.5
"07/23/2017 00:00:00","EDT","HUD VL",61758,1251.8
"07/23/2017 00:00:00","EDT","LONGIL",61762,3172.6
"07/23/2017 00:00:00","EDT","MHK VL",61756,823.2
"07/23/2017 00:00:00","EDT","MILLWD",61759,356.2
"07/23/2017 00:00:00","EDT","N.Y.C.",61761,7394.8
"07/23/2017 00:00:00","EDT","NORTH",61755,456.5
"07/23/2017 00:00:00","EDT","WEST",61752,1685.6
"07/23/2017 00:05:00","EDT","CAPITL",61757,1332.5
"07/23/2017 00:05:00","EDT","CENTRL",61754,1617.2
"07/23/2017 00:05:00","EDT","DUNWOD",61760,858.7
"07/23/2017 00:05:00","EDT","GENESE",61753,1065.9
"07/23/2017 00:05:00","EDT","HUD VL",61758,1243.4
"07/23/2017 00:05:00","EDT","LONGIL",61762,3136.2
"07/23/2017 00:05:00","EDT","MHK VL",61756,819.5
"07/23/2017 00:05:00","EDT","MILLWD",61759,368
"07/23/2017 00:05:00","EDT","N.Y.C.",61761,7348.9
"07/23/2017 00:05:00","EDT","NORTH",61755,452.3
"07/23/2017 00:05:00","EDT","WEST",61752,1686.3
"07/23/2017 00:10:00","EDT","CAPITL",61757,1333.1
"07/23/2017 00:10:00","EDT","CENTRL",61754,1636.4
"07/23/2017 00:10:00","EDT","DUNWOD",61760,851.1
"07/23/2017 00:10:00","EDT","GENESE",61753,1054
"07/23/2017 00:10:00","EDT","HUD VL",61758,1214.3
"07/23/2017 00:10:00","EDT","LONGIL",61762,3118.1
"07/23/2017 00:10:00","EDT","MHK VL",61756,811.9
"07/23/2017 00:10:00","EDT","MILLWD",61759,365.1
"07/23/2017 00:10:00","EDT","N.Y.C.",61761,7329.4
"07/23/2017 00:10:00","EDT","NORTH",61755,457
"07/23/2017 00:10:00","EDT","WEST",61752,1658.7
