"Time Stamp","Time Zone","Name","PTID","Load"
"08/14/2017 00:00:00","EDT","CAPITL",61757,1313.8
"08/14/2017 00:00:00","EDT","CENTRL",61754,1571.6
"08/14/2017 00:00:00","EDT","DUNWOD",61760,721.2
"08/14/2017 00:00:00","EDT","GENESE",61753,1003.4
"08/14/2017 00:00:00","EDT","HUD VL",61758,1067.8
"08/14/2017 00:00:00","EDT","LONGIL",61762,2596
"08/14/2017 00:00:00","EDT","MHK VL",61756,798.8
"08/14/2017 00:00:00","EDT","MILLWD",61759,313.5
"08/14/2017 00:00:00","EDT","N.Y.C.",61761,6408.2
"08/14/2017 00:00:00","EDT","NORTH",61755,433.8
"08/14/2017 00:00:00","EDT","WEST",61752,1575.4
"08/14/2017 00:05:00","EDT","CAPITL",61757,1297.2
"08/14/2017 00:05:00","EDT","CENTRL",61754,1606.6
"08/14/2017 00:05:00","EDT","DUNWOD",61760,725
"08/14/2017 00:05:00","EDT","GENESE",61753,990.6
"08/14/2017 00:05:00","EDT","HUD VL",61758,1079
"08/14/2017 00:05:00","EDT","LONGIL",61762,2572.7
"08/14/2017 00:05:00","EDT","MHK VL",61756,793
"08/14/2017 00:05:00","EDT","MILLWD",61759,289.3
"08/14/2017 00:05:00","EDT","N.Y.C.",61761,6415.8
"08/14/2017 00:05:00","EDT","NORTH",61755,426.4
"08/14/2017 00:05:00","EDT","WEST",61752,1554.7
"08/14/2017 00:10:00","EDT","CAPITL",61757,1309.3
"08/14/2017 00:10:00","EDT","CENTRL",61754,1583
"08/14/2017 00:10:00","EDT","DUNWOD",61760,722.7
"08/14/2017 00:10:00","EDT","GENESE",61753,989
"08/14/2017 00:10:00","EDT","HUD VL",61758,1045.3
"08/14/2017 00:10:00","EDT","LONGIL",61762,2530.3
"08/14/2017 00:10:00","EDT","MHK VL",61756,790.6
"08/14/2017 00:10:00","EDT","MILLWD",61759,310.9
"08/14/2017 00:10:00","EDT","N.Y.C.",61761,6344.5
"08/14/2017 00:10:00","EDT","NORTH",61755,421.9
"08/14/2017 00:10:00","EDT","WEST",61752,1568.1
"08/14/2017 00:15:00","EDT","CAPITL",61757,1295.4
"08/14/2017 00:15:00","EDT","CENTRL",61754,1572.3
"08/14/2017 00:15:00","EDT","DUNWOD",61760,718.6
"08/14/2017 00:15:00","EDT","GENESE",61753,988.6
"08/14/2017 00:15:00","EDT","HUD VL",61758,1028.1
"08/14/2017 00:15:00","EDT","LONGIL",61762,2510.4
"08/14/2017 00:15:00","EDT","MHK VL",61756,795.4
